Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly)
 January,572.6666666666666,582.8333333333335,584.0,620.1666666666666,547.6666666666665,554.3333333333334,573.8333333333334,260.1666666666667,261.8333333333332,259.6666666666666,262.99999999999994,263.00000000000006,262.99999999999994,258.5,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,817139996.4703025,1718325.0792317796,294281840.9815247,0.0,593378056.3879925,2165870.0551319825,165418076.89867702,50132.08058434299,412713647.57109225,1496243.0167702262,289079219.8757137,835319.3013709397,141023563.35474625,0.0
 February,545.3333333333334,560.4999999999999,547.9999999999999,593.8333333333331,527.0000000000001,534.5,571.4999999999999,232.8333333333333,237.33333333333326,227.49999999999994,238.49999999999997,233.0,234.66666666666666,236.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,8.811700000000124,2.1912500000000175,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000057,570326364.6158422,11876817.088363172,202242176.9366795,17117.732014763347,399546549.97889733,17647401.566086043,111495117.96771635,921500.4637001856,273449711.004853,15049059.531368557,198778651.368604,7911031.380623195,94579625.17472282,272070.7633241513
 March,600.6666666666665,642.1666666666666,619.5,669.4999999999997,604.6666666666665,603.4999999999999,655.1666666666666,259.6666666666666,265.3333333333332,256.99999999999994,265.66666666666663,261.3333333333333,262.49999999999994,264.8333333333333,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,457734785.19531703,48786558.92829337,162689991.55264944,5391077.175042552,292948594.8162077,54334199.910694554,81037560.29721512,7486989.247454063,171569249.8743766,37805388.28453873,135255922.2975677,23539652.77322258,63575978.30565362,3582839.9511177116
 April,559.1666666666666,617.6666666666669,548.0,598.6666666666666,565.6666666666667,575.8333333333331,638.4999999999999,252.3333333333333,256.16666666666663,252.0,256.83333333333326,255.1666666666666,255.5,259.9999999999999,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,165034385.45365006,182835939.5244435,62462570.601029165,29658870.72267793,89308404.65599614,170954405.8977784,23398330.840732113,32381286.787679743,23319491.007531352,152084232.92264524,21994101.717718482,100905169.11933185,8946067.920491647,24904196.66779939
 May,535.8333333333337,570.0,491.50000000000034,520.1666666666671,529.5000000000001,549.8333333333333,596.4999999999999,295.49999999999994,297.5,303.0,298.0,310.66666666666663,303.8333333333333,299.0,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,47950811.66921617,431372164.0397412,14731445.988155685,98533100.95368482,11160270.494012568,386148868.2433126,2793450.1761575686,84679432.09936576,2373482.4633986303,347986674.7569905,3546275.3909481624,227289969.27418995,1489997.6142222064,71741020.35641232
 June,465.8333333333336,465.66666666666714,411.66666666666686,412.0000000000001,438.8333333333336,469.0000000000002,478.0000000000002,287.33333333333326,288.66666666666663,295.1666666666666,288.83333333333326,295.16666666666663,295.1666666666666,288.83333333333326,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,9269755.548176037,783838889.4490778,1552960.019467929,175596867.50933632,0.0,648594859.4010619,0.0,143478604.52712035,0.0,637659339.1469437,0.0,420162652.0055194,0.0,134075919.5023688
 July,471.6666666666669,465.00000000000034,412.6666666666668,408.50000000000017,434.1666666666669,467.8333333333337,469.66666666666686,297.83333333333326,298.99999999999994,305.0,298.99999999999994,310.3333333333333,304.8333333333333,299.33333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,6857752.828556578,902295831.979764,1524737.7277682615,204949934.02321708,798748.3808155897,739970016.0390947,0.0,166195371.71374375,0.0,736400918.1259228,30058.384769065986,484675570.6427818,0.0,158469647.88279596
 August,485.33333333333354,515.3333333333335,451.83333333333366,477.0000000000003,501.50000000000017,519.666666666667,556.5000000000002,299.1666666666666,292.49999999999994,302.49999999999994,297.33333333333326,311.0,309.99999999999994,298.3333333333333,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,73736893.93229353,622762408.4182956,29037124.125470072,144593205.2040543,21615176.021621775,526754111.6562599,4471350.7179397,119495219.25520778,1107647.6917748356,481084018.59384316,2283632.2813588986,319009627.9907991,567362.5975056267,105096676.74472837
 September,518.3333333333335,576.3333333333335,502.66666666666686,557.6666666666667,525.1666666666667,532.8333333333334,598.8333333333333,252.16666666666654,252.49999999999986,252.49999999999991,255.66666666666654,256.1666666666666,255.16666666666663,258.4999999999999,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,127752829.48942904,309542811.32957184,55877945.38349915,64612074.21746976,74424932.14992037,277667675.98884225,19557094.755883124,60415124.04919574,13200705.653130835,212974123.9788252,13359028.871355472,145701064.6817137,5523873.717777252,42860135.2099412
 October,576.5000000000001,625.6666666666667,568.0000000000001,636.1666666666667,569.0,586.6666666666667,655.3333333333333,291.1666666666666,290.83333333333314,286.4999999999999,294.33333333333326,291.9999999999999,293.3333333333333,298.83333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,189818337.48479733,171604038.12755322,94225557.06523398,34396438.78181493,150143833.66033074,161949299.08447504,41472091.87172526,33948588.64433211,44843096.982697435,102694619.54689105,33075276.152581964,69471026.24583025,16709525.832377946,18278473.474019106
