,Unnamed: 0,Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),Source,Month,count
0,0, January,598.6666666666666,624.5,604.8333333333335,662.1666666666666,563.9999999999998,572.4999999999999,616.1666666666664,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,558609773.5952603,8490941.208750544,207325092.21033043,107204.39812326724,409313125.4470552,11872595.639445929,111486041.314586,804213.4131295563,251866068.2407111,8550426.943590393,177653968.34456262,4677981.933341314,87729918.07065755,210110.8811359729,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, January,1
1,1, February,563.3333333333333,599.3333333333333,564.8333333333331,613.8333333333333,544.6666666666667,555.6666666666666,607.3333333333331,8.811700000000124,2.191250000000017,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000055,362991482.1442379,37987932.31655501,142225916.10300124,2497969.9334937083,263480814.09450173,44232482.92634142,69536961.84067173,5272141.942353276,136240272.85157633,33305497.1749254,99779681.08002968,19882320.16755667,45191753.08870042,2202928.521933997,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, February,1
2,2, March,612.8333333333331,663.4999999999999,612.6666666666665,672.6666666666665,607.3333333333333,616.8333333333333,679.8333333333334,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,261371195.87124887,98328207.07903084,103901276.55417566,14866434.457186736,167814220.9588525,106630263.4985904,44293055.45946792,17022937.130859673,63454346.15159845,72756649.76358399,54389894.10462584,45237315.945973225,23354585.17593902,8774006.513944827,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, March,1
3,3, April,521.5000000000003,567.6666666666669,483.8333333333337,529.0000000000002,510.6666666666672,524.166666666667,584.4999999999997,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,98721212.61363173,305332383.68899965,40452096.32292389,65207365.32490435,50564762.25567411,271762196.2911049,12035666.111187384,59310721.60039519,5138795.292919378,243362514.1184812,6426191.530485248,161346492.22956777,2085319.7635423327,50030395.63807716,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, April,1
4,4, May,499.3333333333337,506.66666666666697,445.3333333333337,451.83333333333377,487.16666666666697,511.3333333333337,533.0000000000002,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,22720551.004583344,581501978.4007984,6427064.941935252,137172945.0367352,3497213.472155034,519438696.2170186,659132.9292115427,115203210.639831,210611.3879949014,481944611.2281792,1081801.3201147907,309415687.9306457,309077.99475020985,99625234.07242703,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, May,1
5,5, June,447.00000000000034,425.3333333333338,377.3333333333336,368.66666666666686,395.1666666666669,436.83333333333377,429.66666666666686,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,3496827.111502743,1028051132.0143292,241179.92830776155,231575158.90347973,0.0,854556846.3127762,0.0,188335517.12787136,0.0,855383006.4195802,0.0,560112151.9711176,0.0,179378984.09937912,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, June,1
6,6, July,457.66666666666697,431.1666666666669,384.8333333333336,376.33333333333337,402.00000000000034,443.3333333333336,434.8333333333336,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,3258108.541071913,1095438467.868666,640969.3144887433,249075858.2057792,0.0,913547156.1723552,0.0,202553213.6920329,0.0,916940972.2608522,0.0,598249560.5907422,0.0,193293442.52949667,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, July,1
7,7, August,481.5000000000003,489.50000000000017,433.3333333333337,445.00000000000034,487.3333333333336,506.66666666666674,527.1666666666669,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,39229285.85658488,748789882.3188374,17394842.831339445,173883381.46644944,8572410.618706305,634023155.302441,851315.6893548738,141591983.2138477,0.0,589662333.4795734,154924.3855782196,388385195.2397808,22629.61757797345,125992820.34651798,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, August,1
8,8, September,493.3333333333334,535.6666666666669,463.8333333333336,498.33333333333377,504.50000000000006,510.8333333333332,557.0,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,67091888.52233836,439148583.4425469,34226905.876245335,103710756.14091644,36516289.33866429,377364472.2221344,8558183.311186677,89499566.24293788,700339.8690974654,292339470.4938948,1682046.033521782,200407593.7045582,215171.3293295184,67101993.40635534,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, September,1
9,9, October,576.3333333333335,623.1666666666666,551.0000000000001,608.0,566.9999999999999,582.5000000000001,643.4999999999998,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,96664784.380571,238165438.94402507,57751595.65270839,51430022.018036015,84292373.4616245,219752021.57610136,21988974.024323914,49798192.739583135,12460420.04316824,134899404.93969005,9685456.26195429,92925877.2238508,4100445.405938973,27133899.20349188,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, October,1
10,10, November,564.0000000000001,617.3333333333331,546.5,622.1666666666665,528.3333333333331,548.1666666666669,621.8333333333333,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,244046369.60333964,91022055.30198058,121625989.44613504,15815875.763179742,210959654.72620064,91563846.94243117,54409405.839947656,19582293.604949288,68122622.78930213,44708046.54132436,44729961.202347934,31354692.348048404,23038969.37332037,5911075.909084273,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, November,1
