Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly)
 January,566.0000000000002,572.8333333333335,576.8333333333336,612.9999999999999,542.0000000000001,545.8333333333333,562.8333333333331,260.83333333333326,263.6666666666665,257.33333333333326,262.99999999999994,263.16666666666663,261.83333333333326,257.4999999999999,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,872915998.8208532,1079653.3198644773,309445168.0206946,0.0,626724393.3107415,1395390.6436785117,174875659.3649753,240.16093198899625,449630370.93955845,850189.2414387005,317408565.9019744,500908.2205919885,153332509.78107983,0.0
 February,543.1666666666665,555.9999999999999,548.5,591.0,526.6666666666667,535.0000000000001,564.8333333333333,234.16666666666666,237.6666666666666,228.4999999999999,238.49999999999997,233.83333333333326,236.33333333333331,235.66666666666663,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,8.811700000000124,2.1912500000000175,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000057,596248656.3451972,7407634.314880279,209579292.66696194,0.0,415800205.4766565,11726694.104277717,116334979.39130585,355452.5887490498,290693625.07713896,10938126.672257481,211680455.39604458,5232382.004030062,100868867.30076475,55188.10274922362
 March,601.1666666666664,641.4999999999999,620.9999999999999,668.8333333333329,604.1666666666664,602.6666666666666,654.3333333333334,260.1666666666666,265.8333333333332,257.66666666666663,265.99999999999994,261.5,262.49999999999994,264.8333333333333,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,463426967.12825567,45096004.77469763,164307443.75057724,4669238.057114382,295928904.8256388,50584309.345118605,81870614.87006353,6805164.834063055,176525533.70253038,35486349.57334267,139035993.91608274,21994508.92366267,65431404.120668806,3164867.240499558
 April,568.1666666666664,628.8333333333333,560.1666666666666,612.8333333333335,576.1666666666662,583.6666666666665,647.1666666666666,251.0,256.83333333333326,250.66666666666666,256.49999999999994,254.83333333333334,254.83333333333331,258.83333333333326,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,187388598.44561937,148493798.41156477,69204672.19182299,21530709.814206608,102089619.6023735,144590086.98457405,26716259.665596776,25345939.338685203,30429618.957520492,129300793.51627895,28254774.56366557,84310027.31998028,11707027.783390079,18610945.155123837
 May,540.666666666667,577.8333333333331,494.5000000000004,527.0000000000001,534.3333333333335,552.9999999999998,602.9999999999999,295.49999999999994,297.49999999999994,302.5,298.0,310.3333333333333,310.0,299.8333333333333,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,48767520.78061795,397322588.2062634,15073226.023335641,90556759.28634228,11466964.936075058,359957490.64011323,2840870.4414306246,78673103.30670139,2386292.2507635206,322599869.4327529,3556399.97722215,210045165.56185699,1510439.9558767441,65895400.594071366
 June,466.0000000000004,466.5000000000004,414.0000000000003,414.16666666666686,440.6666666666668,469.1666666666669,476.5000000000003,287.6666666666666,288.66666666666663,288.83333333333326,288.83333333333326,288.83333333333326,288.83333333333326,288.83333333333326,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,6506698.395649796,735477612.4111787,986698.1382871539,164518172.76157913,0.0,610060414.1052788,0.0,135473222.9173978,0.0,600574329.8473659,0.0,394592964.32542634,0.0,126201724.41779386
 July,472.8333333333335,466.83333333333366,415.66666666666686,410.8333333333334,434.50000000000045,466.5000000000004,468.0000000000002,297.83333333333326,298.99999999999994,304.66666666666663,299.33333333333326,303.66666666666663,298.49999999999994,299.33333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,5266511.110157552,836884863.1206981,1205208.2566728517,190251670.3374005,492369.648119654,689850075.545783,0.0,155548300.8812711,0.0,687124662.8211081,0.0,450612762.7611,0.0,147754294.0427685
 August,494.00000000000034,526.0000000000003,459.666666666667,486.1666666666671,506.8333333333334,524.3333333333334,564.6666666666667,293.1666666666667,292.3333333333333,302.16666666666663,297.33333333333326,310.6666666666667,303.49999999999994,297.83333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,66633742.056468725,565091048.4538785,26019709.620189272,130235502.09506087,19223101.783107724,480236259.6758451,3754983.112284482,109367385.18662828,1081249.1753134513,439172507.2803207,2203163.937277859,290029162.12603796,533231.1289326043,95514052.89674655
 September,517.3333333333336,575.8333333333334,503.5000000000003,559.3333333333335,524.1666666666666,531.5,597.9999999999998,251.4999999999999,252.49999999999986,251.66666666666657,255.8333333333332,255.1666666666666,253.83333333333326,257.8333333333332,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,143129141.05731794,292176518.34550345,62392128.94107545,62045683.86266318,83620595.48439606,266152795.3798058,22276839.482606404,58059159.211873785,16488803.444259373,202432075.7625377,16379781.038622474,137490466.80815166,6990362.5494452575,40684932.86856044
 October,579.5,627.3333333333334,572.3333333333334,640.8333333333334,573.5000000000001,589.5000000000001,656.3333333333333,291.8333333333332,290.99999999999983,286.6666666666666,295.1666666666666,292.4999999999999,293.49999999999994,299.33333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,196803992.47644603,155814471.77353373,96854055.9010423,30393139.414373785,154978771.30805603,148597092.2168824,43344945.7758971,30757129.138417408,47496585.511658825,93552397.1676395,35049504.431892455,62989858.013457604,17749066.242495243,16174212.241048181
 November,571.1666666666664,604.1666666666669,563.5000000000001,628.3333333333333,540.9999999999999,558.9999999999999,616.6666666666667,280.49999999999994,284.49999999999994,273.33333333333326,283.66666666666663,283.16666666666663,283.5,286.8333333333333,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,409292111.2890668,44081701.22756195,169780142.10235864,5684594.909035336,320150600.35936546,46333911.240574434,88596417.64461613,8184531.462160227,162673060.216186,22059033.93456544,109514523.47849378,15425249.944368334,56097456.8380796,1932961.591436723
 December,589.3333333333334,606.0000000000001,588.3333333333333,644.0,566.3333333333334,577.333333333333,614.9999999999995,285.83333333333326,297.3333333333333,282.66666666666663,296.66666666666663,292.1666666666667,290.3333333333333,289.5,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,701733668.5610137,3100944.873062409,251771301.09851235,0.0,511249008.31712234,5721724.035826647,141842412.26469904,3245.2425157641424,350818390.51986325,2650247.9684246136,241549604.1386996,1531310.776036851,116839384.70238647,0.0
