Time,BLOCK1:ZONE2:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) SEP:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) SEP:Des Cool Mass Flow [kg/s]
00:06:00,4.824839E+03,1.218279E+03,4.766329E+00,1.192555E+00,4.859254E+03,2.561471E+02,4.800326E+00,2.507385E-01
00:12:00,4.824528E+03,1.165664E+03,4.766022E+00,1.141050E+00,4.858953E+03,2.214889E+02,4.800029E+00,2.168121E-01
00:18:00,4.824218E+03,1.113010E+03,4.765715E+00,1.089509E+00,4.858653E+03,1.876459E+02,4.799733E+00,1.836838E-01
00:24:00,4.823909E+03,1.060238E+03,4.765410E+00,1.037851E+00,4.858355E+03,1.545114E+02,4.799438E+00,1.512489E-01
00:30:00,4.823600E+03,1.008240E+03,4.765105E+00,9.869512E-01,4.858057E+03,1.250181E+02,4.799143E+00,1.223784E-01
00:36:00,4.823293E+03,9.572729E+02,4.764801E+00,9.370600E-01,4.857760E+03,9.739367E+01,4.798850E+00,9.533720E-02
00:42:00,4.822986E+03,9.074862E+02,4.764498E+00,8.883245E-01,4.857463E+03,7.388738E+01,4.798557E+00,7.232724E-02
00:48:00,4.822681E+03,8.586990E+02,4.764196E+00,8.405675E-01,4.857168E+03,5.350314E+01,4.798265E+00,5.237342E-02
00:54:00,4.822376E+03,8.110797E+02,4.763895E+00,7.939536E-01,4.856873E+03,3.642319E+01,4.797974E+00,3.565411E-02
01:00:00,4.822072E+03,7.644204E+02,4.763595E+00,7.482796E-01,4.856580E+03,2.248145E+01,4.797684E+00,2.200675E-02
01:06:00,4.822090E+03,7.201360E+02,4.763613E+00,7.049303E-01,4.856597E+03,1.251883E+01,4.797702E+00,1.225449E-02
01:12:00,4.822108E+03,6.771619E+02,4.763631E+00,6.628635E-01,4.856615E+03,5.464184E+00,4.797719E+00,5.348807E-03
01:18:00,4.822126E+03,6.355610E+02,4.763649E+00,6.221410E-01,4.856632E+03,1.335714E+00,4.797736E+00,1.307511E-03
01:24:00,4.822144E+03,5.952894E+02,4.763667E+00,5.827199E-01,4.856650E+03,0.000000E+00,4.797754E+00,0.000000E+00
01:30:00,4.822162E+03,5.547501E+02,4.763684E+00,5.430365E-01,4.856667E+03,0.000000E+00,4.797771E+00,0.000000E+00
01:36:00,4.822180E+03,5.173607E+02,4.763702E+00,5.064366E-01,4.856685E+03,0.000000E+00,4.797788E+00,0.000000E+00
01:42:00,4.822198E+03,4.802787E+02,4.763720E+00,4.701376E-01,4.856702E+03,0.000000E+00,4.797805E+00,0.000000E+00
01:48:00,4.822216E+03,4.447337E+02,4.763738E+00,4.353431E-01,4.856719E+03,0.000000E+00,4.797822E+00,0.000000E+00
01:54:00,4.822234E+03,4.103681E+02,4.763755E+00,4.017032E-01,4.856737E+03,0.000000E+00,4.797839E+00,0.000000E+00
02:00:00,4.822252E+03,3.778864E+02,4.763773E+00,3.699072E-01,4.856754E+03,0.000000E+00,4.797856E+00,0.000000E+00
02:06:00,4.822270E+03,3.466666E+02,4.763790E+00,3.393467E-01,4.856771E+03,0.000000E+00,4.797873E+00,0.000000E+00
02:12:00,4.822287E+03,3.169193E+02,4.763808E+00,3.102275E-01,4.856788E+03,0.000000E+00,4.797890E+00,0.000000E+00
02:18:00,4.822305E+03,2.885123E+02,4.763825E+00,2.824204E-01,4.856805E+03,0.000000E+00,4.797907E+00,0.000000E+00
02:24:00,4.822323E+03,2.614560E+02,4.763843E+00,2.559353E-01,4.856822E+03,0.000000E+00,4.797924E+00,0.000000E+00
02:30:00,4.822340E+03,2.372441E+02,4.763860E+00,2.322347E-01,4.856839E+03,0.000000E+00,4.797941E+00,0.000000E+00
02:36:00,4.822358E+03,2.125792E+02,4.763877E+00,2.080906E-01,4.856856E+03,0.000000E+00,4.797957E+00,0.000000E+00
02:42:00,4.822375E+03,1.900852E+02,4.763895E+00,1.860715E-01,4.856873E+03,0.000000E+00,4.797974E+00,0.000000E+00
02:48:00,4.822393E+03,1.686683E+02,4.763912E+00,1.651068E-01,4.856890E+03,0.000000E+00,4.797991E+00,0.000000E+00
02:54:00,4.822410E+03,1.485048E+02,4.763929E+00,1.453691E-01,4.856906E+03,0.000000E+00,4.798007E+00,0.000000E+00
