Date/Time,PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](Hourly)
 01/01  01:00:00,-0.09804909996441763,-0.005500858797190437
 01/01  02:00:00,-0.09713666011861846,0.0056780668043062139
 01/01  03:00:00,-0.06988411487900694,0.040133105750603529
 01/01  04:00:00,-0.03129562821407751,0.0821254264177084
 01/01  05:00:00,0.00789227565324111,0.1020011307039574
 01/01  06:00:00,0.0428681297307519,0.10471247517053735
 01/01  07:00:00,0.07352731742553467,0.10456889823907498
 01/01  08:00:00,0.11955313312858314,0.12599351047694536
 01/01  09:00:00,0.12392371229619763,0.1251172951678698
 01/01  10:00:00,0.12701046047610968,0.12774392940387434
 01/01  11:00:00,0.14462593066638125,0.15543779095575994
 01/01  12:00:00,0.14825969973154433,0.17370328577957656
 01/01  13:00:00,0.12300210100587399,0.15834724841686258
 01/01  14:00:00,0.10507509483656368,0.13455662766596003
 01/01  15:00:00,0.1151261718301331,0.1292257320510487
 01/01  16:00:00,0.1245309714211981,0.11854319712169317
 01/01  17:00:00,0.10783720874833765,0.08399554631995147
 01/01  18:00:00,0.06726443082904848,0.032746186798300238
 01/01  19:00:00,0.044898816726049218,0.016635327828759328
 01/01  20:00:00,0.04543028738311723,0.03340972892131331
 01/01  21:00:00,0.05012144488049852,0.05264131954423411
 01/01  22:00:00,0.028053344064995435,0.060765898183262227
 01/01  23:00:00,-0.012568884599136304,0.04565396867807477
 01/01  24:00:00,-0.060236908861261918,0.01746383020620636
 01/02  01:00:00,-0.11097193562974299,-0.017796171287315429
 01/02  02:00:00,-0.16552357230590707,-0.059942541541064
 01/02  03:00:00,-0.2258180891785885,-0.11019243428448182
 01/02  04:00:00,-0.29099451427956299,-0.16723821617159025
 01/02  05:00:00,-0.3578180077143643,-0.22755460381956067
 01/02  06:00:00,-0.4194438521436066,-0.28427982501616147
 01/02  07:00:00,-0.4755376816182399,-0.33723164903308336
 01/02  08:00:00,-0.404813242135415,-0.27253796445942626
 01/02  09:00:00,-0.24303534052085347,-0.11299830999288743
 01/02  10:00:00,-0.008072080941917992,0.10951942356461364
 01/02  11:00:00,0.1408933984333871,0.19533996540677787
 01/02  12:00:00,0.1395984517130487,0.17794630373749155
 01/02  13:00:00,0.10693540676831578,0.13057945089406038
 01/02  14:00:00,0.09914362679158097,0.11199970988240335
 01/02  15:00:00,0.11949206662770348,0.11851972663492014
 01/02  16:00:00,0.13031120346952447,0.11495258620956399
 01/02  17:00:00,0.11274730873700223,0.08453944550951861
 01/02  18:00:00,0.07100769704809208,0.03384215892577251
 01/02  19:00:00,0.05205792340370137,0.02471188463866779
 01/02  20:00:00,0.05120087282767215,0.040404138182059397
 01/02  21:00:00,0.029274246256481775,0.04501173011515076
 01/02  22:00:00,-0.03608803394203524,0.016564641844857825
 01/02  23:00:00,-0.1109434327045082,-0.029564570395948576
 01/02  24:00:00,-0.18799478083361682,-0.08427364535689566
 01/03  01:00:00,-0.2650487880140473,-0.14399385471615418
 01/03  02:00:00,-0.3421152248584218,-0.20766495859654852
 01/03  03:00:00,-0.4174784027755221,-0.27260096801423047
 01/03  04:00:00,-0.4851831227298472,-0.33748299442415627
 01/03  05:00:00,-0.5097365340745953,-0.40036757770708267
 01/03  06:00:00,-0.5108096210778469,-0.4564277276605496
 01/03  07:00:00,-0.5080983882367213,-0.49790802463286357
 01/03  08:00:00,-0.4300395229080107,-0.41596690743300376
 01/03  09:00:00,-0.3091349930967069,-0.2658932057347746
 01/03  10:00:00,-0.1277695140072308,-0.03578660416456433
 01/03  11:00:00,0.0614112413581641,0.12738851067767449
 01/03  12:00:00,0.12191802635690467,0.12804732233651737
 01/03  13:00:00,0.1151494929011972,0.10425777920441888
 01/03  14:00:00,0.11887409437728432,0.11475077793792199
 01/03  15:00:00,0.12096839100614172,0.12534164952476066
 01/03  16:00:00,0.1163719469720168,0.1188403068965129
 01/03  17:00:00,0.09688783991568798,0.08757362001354455
 01/03  18:00:00,0.0811884552131212,0.07295244700368924
 01/03  19:00:00,0.08061214451181165,0.07685240138061031
 01/03  20:00:00,0.06269552160122902,0.06073253365692841
 01/03  21:00:00,0.01688679860604068,0.028202277888097549
 01/03  22:00:00,-0.08631233147374143,-0.047477934977791649
 01/03  23:00:00,-0.17522426719432747,-0.11613495853932847
 01/03  24:00:00,-0.25612925841336706,-0.18196127081041398
 01/04  01:00:00,-0.33154693621019939,-0.24598091132628059
 01/04  02:00:00,-0.4028489686720991,-0.30855281251099556
 01/04  03:00:00,-0.4686769954660974,-0.36838916840490878
 01/04  04:00:00,-0.5049740227571056,-0.42614506734454968
 01/04  05:00:00,-0.5101437529543741,-0.48126255695510686
 01/04  06:00:00,-0.5096277012930744,-0.5078093222206321
 01/04  07:00:00,-0.5086562876814129,-0.5113808117864412
 01/04  08:00:00,-0.44119765400928848,-0.43393759974258358
 01/04  09:00:00,-0.3312674126059256,-0.3032454141073599
 01/04  10:00:00,-0.12463582469272631,-0.042840217953784339
 01/04  11:00:00,0.0996340057728576,0.16966092024968269
 01/04  12:00:00,0.1414069960755763,0.18835421670072279
 01/04  13:00:00,0.11743576119544952,0.14545948722196859
 01/04  14:00:00,0.11103104756685278,0.12447937056759939
 01/04  15:00:00,0.13153320395973257,0.12923707292401408
 01/04  16:00:00,0.13882630429176585,0.12249561172737653
 01/04  17:00:00,0.11889849997985744,0.09087889594504659
 01/04  18:00:00,0.07469200908400005,0.03929616724977597
 01/04  19:00:00,0.04875085447298486,0.020752219896516996
 01/04  20:00:00,0.04828484658469597,0.03697379427109789
 01/04  21:00:00,0.03319881728249074,0.048211108902008307
 01/04  22:00:00,-0.021741709689270539,0.029108491654204435
 01/04  23:00:00,-0.08739915706921978,-0.007670207800981122
 01/04  24:00:00,-0.15378143452887187,-0.05067874323774498
 01/05  01:00:00,-0.2180685030944612,-0.0967487549100561
 01/05  02:00:00,-0.28016771256264985,-0.14480343376737729
 01/05  03:00:00,-0.3407031700248104,-0.19452659595285297
 01/05  04:00:00,-0.3997277310088799,-0.24524976008180858
 01/05  05:00:00,-0.456277920897756,-0.29546506316489909
 01/05  06:00:00,-0.4983779593062268,-0.34357584325242299
 01/05  07:00:00,-0.5077791594265789,-0.3898127296231162
 01/05  08:00:00,-0.5076024961830958,-0.43458391594300307
 01/05  09:00:00,-0.5016609434435083,-0.4707420845972067
 01/05  10:00:00,-0.46639019873229578,-0.4036225803418759
 01/05  11:00:00,-0.37940788174964626,-0.18850337531373
 01/05  12:00:00,-0.25494143906581187,0.07064430479497228
 01/05  13:00:00,-0.15012861922216517,0.14314621140338475
 01/05  14:00:00,-0.05634367809695211,0.13288714919014256
 01/05  15:00:00,0.07084945443316292,0.1312678229178103
 01/05  16:00:00,0.13557876356567614,0.11858360221966605
 01/05  17:00:00,0.12152856116889269,0.08735428032226476
 01/05  18:00:00,0.08402642180915747,0.04989918778863484
 01/05  19:00:00,0.05255032671608242,0.024792407393854848
 01/05  20:00:00,0.059554802280535248,0.05395080740024576
 01/05  21:00:00,0.04497530057112431,0.06939761839019562
 01/05  22:00:00,0.006025279244214435,0.07283355783367632
 01/05  23:00:00,-0.04757014486250359,0.057620491520086507
 01/05  24:00:00,-0.10514682011904726,0.028933078379834187
 01/06  01:00:00,-0.16430742412470174,-0.008855634119973817
 01/06  02:00:00,-0.2295470696924963,-0.058179265181079
 01/06  03:00:00,-0.3024536437054862,-0.11899815318213185
 01/06  04:00:00,-0.3603423303159484,-0.1685601030067277
 01/06  05:00:00,-0.40530365998625497,-0.20804312181476337
 01/06  06:00:00,-0.44676785077901046,-0.2458468180964672
 01/06  07:00:00,-0.4859527302574199,-0.28365870694076619
 01/06  08:00:00,-0.5048171662566677,-0.3209216245344201
 01/06  09:00:00,-0.5004969848908042,-0.3467783509555199
 01/06  10:00:00,-0.44122187775896179,-0.24391335549463906
 01/06  11:00:00,-0.3293877365544501,-0.0197822863234129
 01/06  12:00:00,-0.19655453331258694,0.14540155196361666
 01/06  13:00:00,-0.09406934437973896,0.14355330986662769
 01/06  14:00:00,-0.006146337319728926,0.12683436068358218
 01/06  15:00:00,0.10113486462697903,0.12842767607254819
 01/06  16:00:00,0.13971399512477068,0.1210260781607206
 01/06  17:00:00,0.12172754593053685,0.0877738782851707
 01/06  18:00:00,0.07765681849888322,0.03968184653104193
 01/06  19:00:00,0.04838595855667109,0.019007830896231795
 01/06  20:00:00,0.058576772990336718,0.05176491435406165
 01/06  21:00:00,0.04752572474257846,0.06901216545031373
 01/06  22:00:00,0.01025117456452857,0.07412079774940958
 01/06  23:00:00,-0.04357052296601819,0.06217562000063538
 01/06  24:00:00,-0.10350592970273495,0.03382418302037018
 01/07  01:00:00,-0.16660163987654487,-0.006049383191488146
 01/07  02:00:00,-0.2325440953368058,-0.054987293924123919
 01/07  03:00:00,-0.30129536638734746,-0.11131595663547804
 01/07  04:00:00,-0.3659788197976166,-0.16714624621635283
 01/07  05:00:00,-0.41378865842728776,-0.20926502036135159
 01/07  06:00:00,-0.45270640759975935,-0.24454596586599365
 01/07  07:00:00,-0.48581356994177507,-0.27573469565288008
 01/07  08:00:00,-0.4039257034234168,-0.19896082916183528
 01/07  09:00:00,-0.24881506346404343,-0.04752412323083654
 01/07  10:00:00,-0.008296508430309487,0.14605159634841384
 01/07  11:00:00,0.14632909193148253,0.20416304305600703
 01/07  12:00:00,0.14415864553223266,0.1779250257765425
 01/07  13:00:00,0.11313791166665203,0.13147863438424596
 01/07  14:00:00,0.10388480559396177,0.11216048998987063
 01/07  15:00:00,0.12160561443313849,0.11631806558942808
 01/07  16:00:00,0.12906493722111146,0.11042075045056585
 01/07  17:00:00,0.11256930035837465,0.08699448334621012
 01/07  18:00:00,0.07637805564904779,0.045180119288802219
 01/07  19:00:00,0.05019911354404013,0.023118034253952689
 01/07  20:00:00,0.04830520230765381,0.037088939877190457
 01/07  21:00:00,0.02712617808742211,0.046569111693642199
 01/07  22:00:00,-0.035538586361335968,0.026788674985753947
 01/07  23:00:00,-0.09240359953821276,0.0020206278894375985
 01/07  24:00:00,-0.1500858021020896,-0.030695639199776665
 01/08  01:00:00,-0.20968387321649904,-0.07064137232970917
 01/08  02:00:00,-0.26883815071944658,-0.11461091709799565
 01/08  03:00:00,-0.3243565307529758,-0.1586402066389955
 01/08  04:00:00,-0.3763729923363997,-0.2020343506043339
 01/08  05:00:00,-0.4272217654564262,-0.24645988940531844
 01/08  06:00:00,-0.4812269230202711,-0.2979062511805673
 01/08  07:00:00,-0.5081000451435223,-0.3572009873624473
 01/08  08:00:00,-0.42939038109065139,-0.3059776756360528
 01/08  09:00:00,-0.2960383259885594,-0.16029090943455133
 01/08  10:00:00,-0.07820756727658944,0.07822381093596134
 01/08  11:00:00,0.12075227289980388,0.19232740368345023
 01/08  12:00:00,0.14032351618517265,0.1804505245510988
 01/08  13:00:00,0.11227641085544808,0.13448645754561684
 01/08  14:00:00,0.10527083554025545,0.1160582324435667
 01/08  15:00:00,0.12508326943155616,0.12251274590957043
 01/08  16:00:00,0.13470027173067973,0.11823355372177558
 01/08  17:00:00,0.11641802433244639,0.08864935947742846
 01/08  18:00:00,0.07510265946535241,0.03932677113464591
 01/08  19:00:00,0.05078125030827964,0.022816498561258636
