Time,BLOCK1:ZONE2:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) SEP:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) SEP:Des Cool Mass Flow [kg/s]
00:06:00,5.197375E+03,6.586508E+02,5.134347E+00,6.447433E-01,5.196522E+03,0.000000E+00,5.133504E+00,0.000000E+00
00:12:00,5.196908E+03,6.071578E+02,5.133886E+00,5.943376E-01,5.196055E+03,0.000000E+00,5.133043E+00,0.000000E+00
00:18:00,5.196443E+03,5.557825E+02,5.133426E+00,5.440471E-01,5.195589E+03,0.000000E+00,5.132583E+00,0.000000E+00
00:24:00,5.195979E+03,5.039283E+02,5.132968E+00,4.932878E-01,5.195125E+03,0.000000E+00,5.132124E+00,0.000000E+00
00:30:00,5.195516E+03,4.530019E+02,5.132511E+00,4.434367E-01,5.194663E+03,0.000000E+00,5.131667E+00,0.000000E+00
00:36:00,5.195055E+03,4.031153E+02,5.132055E+00,3.946035E-01,5.194201E+03,0.000000E+00,5.131211E+00,0.000000E+00
00:42:00,5.194595E+03,3.544056E+02,5.131600E+00,3.469223E-01,5.193741E+03,0.000000E+00,5.130757E+00,0.000000E+00
00:48:00,5.194136E+03,3.067836E+02,5.131147E+00,3.003058E-01,5.193282E+03,0.000000E+00,5.130304E+00,0.000000E+00
00:54:00,5.193679E+03,2.602175E+02,5.130695E+00,2.547230E-01,5.192825E+03,0.000000E+00,5.129852E+00,0.000000E+00
01:00:00,5.193222E+03,2.131851E+02,5.130245E+00,2.086837E-01,5.192368E+03,0.000000E+00,5.129401E+00,0.000000E+00
