Date/Time,BLOCK1:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly) 
 01/01  01:00:00,14.74951846587885,14.73469366032582,14.738527303792523,14.729861090243835,0.0,0.0,0.0,0.0,369.5864917092855,557.600217559085,617.1157985441914,260.59756316873825 
 01/01  02:00:00,14.742374460089575,14.73108458610892,14.736292490809705,14.730043177563193,0.0,0.0,0.0,0.0,376.8879197970655,582.9453955193164,640.9664629508198,275.010735657688 
 01/01  03:00:00,14.734020348314539,14.723100063184965,14.730248008662059,14.724567862458365,0.0,0.0,0.0,0.0,409.51042576353086,654.7715754178239,687.327688384649,301.1914205178522 
 01/01  04:00:00,14.73592237485602,14.72624015564383,14.734910144305685,14.729581309559878,0.0,0.0,0.0,0.0,433.1584330453652,704.5604495287389,711.7424527331045,317.0978433673034 
 01/01  05:00:00,14.736834213139351,14.72846108737448,14.735173951631635,14.730976219318446,0.0,0.0,0.0,0.0,454.53405758392375,751.5773797729153,739.9465898657016,333.39294644665415 
 01/01  06:00:00,14.737307784689596,14.729773495731706,14.734285198265207,14.730825448232634,0.0,0.0,0.0,0.0,476.5583009231233,798.9299684017059,773.358014558497,351.92018320975694 
 01/01  07:00:00,14.749331669621085,14.751130393017114,14.746220722207207,14.74701110465049,0.0,0.0,0.0,0.0,489.31967226008254,809.1716305392642,777.2748019387618,352.33022631203494 
 01/01  08:00:00,14.810125678628834,14.846034199355303,14.805404329980313,14.823494048792295,0.0,0.0,0.0,0.0,400.16049260404634,571.0741188874941,611.2923677078732,253.04776593505943 
 01/01  09:00:00,14.856824114239728,14.964794537553505,14.857317082280188,14.928864145043015,0.0,0.0,0.0,0.0,177.02133613608717,38.5371782216908,232.19746073662904,24.037668547193874 
 01/01  10:00:00,14.871847940794993,15.223691973707849,14.904866584136805,15.207323767970152,0.0,0.0,0.0,0.0,42.83110599808386,0.0,16.170068720712994,0.0 
