Date/Time,BLOCK1:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly) 
 01/01  01:00:00,16.74885268903774,16.732400817050404,16.73384138777444,16.724705814307235,0.0,0.0,0.0,0.0,459.4276087305978,741.986120419921,729.980715793725,320.5346420728706 
 01/01  02:00:00,16.743067088198522,16.730565589001117,16.734517058512484,16.727598573048194,0.0,0.0,0.0,0.0,464.61814479687285,762.6053110725206,748.1507350828294,332.0636862738734 
 01/01  03:00:00,16.732733748816877,16.721057203650687,16.727330272161257,16.72107847293936,0.0,0.0,0.0,0.0,497.771033812619,835.2907669591164,793.0566998853633,357.3350558516322 
 01/01  04:00:00,16.73400696479088,16.72372795065067,16.73228329027709,16.726295579591522,0.0,0.0,0.0,0.0,520.8585312322839,883.1102844475417,813.8074041805239,371.26731806117175 
 01/01  05:00:00,16.73461654343894,16.72564685498505,16.73254472481937,16.727770931813392,0.0,0.0,0.0,0.0,541.8825202980951,928.6191591998912,839.4733060034274,386.0792977398287 
 01/01  06:00:00,16.734883341775255,16.726700315771147,16.731145858476253,16.727229857565117,0.0,0.0,0.0,0.0,563.7679665711496,974.9485033615093,871.3341483779209,403.62736309071977 
 01/01  07:00:00,16.747982339722178,16.7496776696749,16.743888352295986,16.744607198806136,0.0,0.0,0.0,0.0,576.3938113689551,983.4587645775437,873.6804796197198,402.91195662891033 
 01/01  08:00:00,16.818439076336468,16.857436939907963,16.81296309419833,16.832871029414598,0.0,0.0,0.0,0.0,482.60399967228454,729.4949805327876,700.7975161248742,299.29539738135543 
 01/01  09:00:00,16.93517534202892,17.066490697394187,16.93476927339474,17.020071167331295,0.0,0.0,0.0,0.0,248.07072792960042,119.88520011639204,298.98670912422045,47.6040907897364 
 01/01  10:00:00,16.93688774271167,17.194399895700425,16.963418988937594,17.228426350308848,0.0,0.0,0.0,0.0,99.21633391263434,0.0,33.23232552773236,0.0 
 01/01  11:00:00,16.89083860280685,17.234268620041217,17.004270937204588,17.403766716920508,0.0,0.0,0.0,0.0,24.99381514994036,0.0,0.0,0.0 
