Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),EMS:Comfort Temperature [C](Hourly),EMS:Adaptive Cooling Setpoint Temperature [C](Hourly),EMS:Adaptive Heating Setpoint Temperature [C](Hourly),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Hourly),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Hourly),EMS:Ventilation Setpoint Temperature [C](Hourly),EMS:Minimum Outdoor Temperature for ventilation [C](Hourly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Hourly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Hourly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Hourly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Hourly),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Hourly),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Hourly),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Hourly),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Hourly),BLOCK1:ZONE2:Zone Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Operative Temperature [C](Hourly),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Hourly),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Hourly),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Hourly),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Hourly),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Hourly),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Hourly) 
 01/01  01:00:00,-1.55,92.25,1.9,18.6232732696,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.073193211677822,18.07448662352929,11.445775746403754,0.09033305141968956,11.364250136089083,0.1078880750993185,1767.5123578125326,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1020.7041392550007,929.8554162609846,0.0,2833827.2546548187,0.0,2553573.7138740513 
 01/01  02:00:00,-4.300000000000001,94.0,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.057011986573656,18.06034307724771,12.896922013969133,0.10178587675104914,11.45043069958636,0.10870624215788832,2003.8432744187353,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1150.8085073109596,1028.6863010851168,0.0,3315127.659847982,0.0,2931488.826875869 
 01/01  03:00:00,-5.525,93.25,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.05800112212863,18.06229748610413,13.470493347882517,0.10631265151470262,11.94542473849971,0.11340553629559877,2167.3351110784206,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1237.065477435604,1102.890251404467,0.0,3636333.089038835,0.0,3204474.751640483 
 01/01  04:00:00,-6.1,93.75,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.06539589639468,18.070213955295394,13.65253038435576,0.10774933534814152,12.194707610720595,0.11577213760383046,2268.240286355525,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1293.5682552318049,1150.5732680067251,0.0,3836207.0517653916,0.0,3371218.7516414085 
 01/01  05:00:00,-6.275,93.25,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.075318243302384,18.079256651732894,13.673614833903432,0.10791573933047922,12.28543127601209,0.1166334352254985,2320.3759966883736,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1323.7247061409425,1176.7521899768349,0.0,3938652.9663351504,0.0,3458138.289758874 
 01/01  06:00:00,-6.3,93.0,0.25,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.089466866729975,18.09182312343261,13.493302525638658,0.10649266750249914,11.99803200798538,0.11390497065977347,2314.4629482117443,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1317.539893330707,1170.052655713343,0.0,3928960.7684442066,0.0,3446298.77089741 
 01/01  07:00:00,-5.475,94.5,0.75,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.096401233546633,18.098000448955332,13.245113630589735,0.10453389592467102,11.852733466572346,0.11252555892912094,2260.7109389894213,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1303.4239540559909,1157.6355558937944,0.0,3824100.9388189074,0.0,3355586.267523086 
 01/01  08:00:00,-5.125,92.0,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.094870780181296,18.09585565030895,13.096006814965797,0.10335710599437595,11.865401207137223,0.11264582187027727,2261.593239549849,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1309.880794862681,1164.8024928286688,0.0,3823880.488163126,0.0,3358927.6306702318 
 01/01  09:00:00,-4.65,92.5,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.10620258490457,18.108444441570676,12.936814786581408,0.10210072093107694,11.675688500740407,0.11084475814236476,2203.3685876754735,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,1282.4368031941056,1136.0085211753765,0.0,3716629.1625340106,0.0,3254487.1120456234 
 01/01  10:00:00,-0.375,76.5,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.19978448253682,18.2099909319661,11.116887763225755,0.08773738156261841,10.020574985880238,0.09513170985050595,1654.409416946932,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,959.1996778543366,823.5432828373569,0.0,2685565.8878660183,0.0,2290510.0847502556 
