Time,BLOCK1:ZONE2:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) AUG:Des Cool Mass Flow [kg/s]
00:06:00,5.178475E+03,1.242880E+03,5.115676E+00,1.216637E+00,5.177373E+03,1.124401E+03,5.114587E+00,1.100659E+00
00:12:00,5.178314E+03,1.199303E+03,5.115517E+00,1.173980E+00,5.177212E+03,1.079318E+03,5.114428E+00,1.056528E+00
00:18:00,5.178154E+03,1.155245E+03,5.115359E+00,1.130852E+00,5.177051E+03,1.035152E+03,5.114270E+00,1.013295E+00
00:24:00,5.177994E+03,1.110496E+03,5.115200E+00,1.087048E+00,5.176891E+03,9.914840E+02,5.114111E+00,9.705487E-01
00:30:00,5.177834E+03,1.066111E+03,5.115043E+00,1.043600E+00,5.176732E+03,9.485405E+02,5.113954E+00,9.285119E-01
00:36:00,5.177675E+03,1.022376E+03,5.114886E+00,1.000789E+00,5.176572E+03,9.062891E+02,5.113796E+00,8.871527E-01
00:42:00,5.177516E+03,9.793537E+02,5.114729E+00,9.586746E-01,5.176414E+03,8.647048E+02,5.113640E+00,8.464465E-01
00:48:00,5.177358E+03,9.369865E+02,5.114573E+00,9.172020E-01,5.176255E+03,8.237785E+02,5.113483E+00,8.063843E-01
00:54:00,5.177200E+03,8.954070E+02,5.114417E+00,8.765004E-01,5.176098E+03,7.835002E+02,5.113328E+00,7.669565E-01
01:00:00,5.177043E+03,8.545208E+02,5.114261E+00,8.364775E-01,5.175940E+03,7.438598E+02,5.113172E+00,7.281531E-01
