Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),EMS:Comfort Temperature [C](Hourly),EMS:Adaptive Cooling Setpoint Temperature [C](Hourly),EMS:Adaptive Heating Setpoint Temperature [C](Hourly),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Hourly),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Hourly),EMS:Ventilation Setpoint Temperature [C](Hourly),EMS:Minimum Outdoor Temperature for ventilation [C](Hourly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Hourly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Hourly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Hourly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Hourly),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Hourly),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Hourly),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Hourly),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Hourly),BLOCK1:ZONE2:Zone Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Operative Temperature [C](Hourly),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Hourly),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Hourly),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Hourly),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Hourly),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Hourly),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Hourly) 
 01/01  01:00:00,4.425000000000001,91.5,3.075,19.6678521808,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.051413675026815,18.05268213762345,13.370219182913083,0.10552126161672246,8.965462782150073,0.08511485670920202,1177.5770721483368,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,683.6378212171339,590.7663250467655,0.0,1780269.3766181334,0.0,1530396.8792217113 
 01/01  02:00:00,1.5750000000000002,92.0,2.2,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.03384118809009,18.03904342527568,12.00466464056865,0.09474394853431753,9.568438883051751,0.09083929343649519,1389.7962697222015,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,812.9052007796208,714.4291425423737,0.0,2159472.059112673,0.0,1883602.6783964639 
 01/01  03:00:00,0.44999999999999996,94.5,1.775,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.043923501540423,18.050513537863406,11.90705488205415,0.09397358682792778,9.869110658753424,0.09369376238329635,1511.55965930898,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,892.1100783106795,785.286590429384,0.0,2395117.881408645,0.0,2090590.9619022706 
 01/01  04:00:00,-0.325,96.5,1.9500000000000002,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.055638331070206,18.0619128601267,12.436204859122153,0.09814977664208085,10.09643047064813,0.09585185435096394,1607.890695421338,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,956.9417028851408,838.148617190491,0.0,2588564.875431302,0.0,2247268.6330902055 
 01/01  05:00:00,-0.7250000000000001,97.75,2.85,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.067253701181304,18.07248903629508,14.063219499056803,0.11099060109873538,10.567913854583963,0.1003279468449695,1685.5604626730692,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,1015.5967913189465,878.2744222499871,0.0,2755410.790602304,0.0,2362621.266861905 
 01/01  06:00:00,-1.0250000000000001,98.0,2.725,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.07848148663973,18.082141572895118,14.02384567564282,0.11067985260131152,10.712415136760887,0.1016997896851709,1722.2788788229007,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,1036.2615139732293,898.8772354549474,0.0,2824010.60138228,0.0,2427485.3386025974 
 01/01  07:00:00,0.475,89.0,1.4,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.102634246081834,18.10431567468617,11.452155971275888,0.090383405820668,10.204137956987013,0.09687439021877153,1616.0333642651203,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,958.54197745633,849.2286154884814,0.0,2591682.9578475473,0.0,2273458.979677539 
 01/01  08:00:00,0.7749999999999999,91.25,1.0,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.102577506965346,18.10301819356132,10.883172415703552,0.08589283900184641,9.752219587656946,0.09258404088774005,1587.8845929965196,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,943.0605426524075,835.9712859158433,0.0,2536359.5282724663,0.0,2226355.913623483 
 01/01  09:00:00,0.625,95.25,0.25,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.131833891109757,18.13564465066969,10.603372354255537,0.08368458384308558,9.464834366654944,0.08985570967938034,1473.419806708096,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,862.4309929219226,753.8577125304862,0.0,2328351.4176218584,0.0,2018472.46116153 
 01/01  10:00:00,2.025,92.25,1.9500000000000002,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.17632667541876,18.177049465444863,11.484265912886684,0.0906368258658338,9.369667365733468,0.0889522286384459,1230.640476383071,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,698.0147056140979,596.7714224464901,0.0,1872877.7833910736,0.0,1591589.7959739347 
 01/01  11:00:00,4.9,87.25,2.6,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.23704503627601,18.22927500148573,11.026357075918195,0.0870228897349952,8.804632756339862,0.0835879946905868,829.3475812272891,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,418.37887100480896,356.49971468275476,0.0,1110279.5637271816,0.0,941981.6844215159 
 01/01  12:00:00,7.3500000000000005,81.5,4.925000000000001,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.25192519129331,18.233051510752865,15.955029146814876,0.12592125691215975,9.947621161239447,0.09443911266042536,573.8619268672894,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,245.27050167772887,202.5587792789327,0.0,644613.7788484562,0.0,530916.1363737866 
 01/01  13:00:00,8.5,80.75,6.825,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.225077238565646,18.201685696143876,21.931210641047798,0.1730868420304562,11.2712125618941,0.1070048100645292,478.5472802722212,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,181.2309152856741,138.26046890052584,0.0,472609.84693891334,0.0,360151.99096157844 
 01/01  14:00:00,8.850000000000001,81.0,7.2,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.16230850170191,18.1404524181357,23.06623848543194,0.18204477820719345,12.590452667953258,0.11952919785361436,503.1627522305612,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,194.72755101947322,161.32864584013944,0.0,504205.28201975045,0.0,417073.8578955709 
 01/01  15:00:00,8.825000000000001,81.0,8.325,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.070715697856784,18.062789005561516,27.949177086723946,0.22058220489828412,17.50637015528282,0.16619913812277382,691.4649221507216,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,338.55266816763674,285.89108701687303,0.0,867349.7723065406,0.0,731091.6576753235 
 01/01  16:00:00,8.875,81.0,7.949999999999999,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.003849248690226,18.011329172007343,26.438084046921702,0.20865626398446885,17.057360917363873,0.1619364070317844,897.7952021173153,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,500.6147864953091,420.2780998201663,0.0,1273537.5082806707,0.0,1066884.3531160285 
 01/01  17:00:00,8.75,84.0,8.9,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.014425447754583,18.025706872401983,30.545505200131856,0.2410731044377542,19.712499359957558,0.18714332981711987,1048.10497571418,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,622.4835790585494,514.4204443848582,0.0,1578853.008461309,0.0,1302083.8911396763 
 01/01  18:00:00,8.55,87.25,9.3,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.04406242753504,18.05399232608137,32.39169491322999,0.25564371581253975,20.9044714928898,0.1984594815608851,1112.7167605824566,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,674.2390138938201,553.5290861971885,0.0,1711339.8336784877,0.0,1401937.2619984848 
 01/01  19:00:00,8.5,91.75,8.85,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.069269592871454,18.07610325192844,30.453125166677808,0.24034401708735947,19.651103495472636,0.1865604597149121,1112.002902024155,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,671.2335656196082,553.003671661707,0.0,1707484.6967170546,0.0,1403221.0630684358 
 01/01  20:00:00,8.350000000000001,93.75,9.525,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.08331166544757,18.087415286874432,33.50391382692362,0.26442163795138696,21.62178304604292,0.20526937766396625,1143.3792357412322,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,697.5462242251983,571.3703653102837,0.0,1774062.5418668133,0.0,1449470.8647250256 
 01/01  21:00:00,8.3,95.5,10.925,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.09185897109242,18.094120324992286,39.9848689152423,0.31557102810309745,25.806309988862903,0.24499576098497353,1191.4928398980505,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,739.8807134969636,599.4167422550195,0.0,1878328.496657901,0.0,1518219.7441601015 
 01/01  22:00:00,8.45,98.25,10.55,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.098894101435768,18.099857368418466,38.02910153332205,0.3001356011481823,22.081421520716198,0.209633018879202,1141.9389290551276,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,718.0442350655294,568.8200873607748,0.0,1796614.7973298766,0.0,1421687.339793188 
 01/01  23:00:00,8.875,97.5,11.8,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.105194574808813,18.105227865208064,45.73825443448878,0.3609782492004254,23.321826776318893,0.2214089771489931,1128.7940806733814,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,735.7161510821637,555.1798271905611,0.0,1806405.9231423372,0.0,1364575.1198082129 
 01/01  24:00:00,9.45,98.5,10.05,20.5357043616,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.11151010923376,18.110718435534935,36.92055360407812,0.2913866513773426,18.314981380600685,0.1738758002481702,1006.268263175838,5.230972222222223,5.259710186666665,5.230972222222223,5.259710186666665,18.1,24.9,18.1,24.9,0.0,0.0,644.3374483897749,496.662894392215,0.0,1541799.1118153385,0.0,1188496.5301392702 
 01/02  01:00:00,10.2,99.0,8.85,20.53373392544,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.11695173434686,18.115470563449065,30.959363494711063,0.2443393821836234,14.083645902201855,0.13370503364262204,893.383440574569,5.3925,5.247768149333332,5.3925,5.247768149333332,18.1,24.9,18.1,24.9,0.0,0.0,564.6017172717916,439.30547953354477,0.0,1307295.5965624978,0.0,1016991.1049609247 
 01/02  02:00:00,11.15,96.0,7.199999999999999,20.53176348928,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.122540131070757,18.12039734757577,22.975091516058555,0.18132542252055583,10.124190736610933,0.09611540026231807,781.1940490909849,5.3925,5.247768149333332,5.3925,5.247768149333332,18.1,24.9,18.1,24.9,0.0,0.0,471.58960347512664,380.52765609552307,0.0,1063621.8792750402,0.0,857196.1321423403 
