"es-ES"
"DesignBuilder - Model data grid view";"V1";"2023-11-14 15:14:44"
"609867fc-ea20-47b4-b907-6558dda0c775";"f0150a78-b3d9-43ba-82d7-60ade1af2f40";"The Palm_v08_2_RadiantFloor_RITE_temp_PV";"usSI"
"ModelObjectId";"Zone";"InheritedZoneHandle";"ParentId";"Block";"Title";"FloorArea";"OccupancyMethod";"OccupancyFloorAreaPerPersonIsOccupied";"OccupancyFloorAreaPerPerson";"OccupancyValueIsOccupied";"OccupancyValue";"OccupancyNumberOfPeopleIsOccupied";"OccupancyNumberOfPeople";"OccupancySchedule";"MetabolicRateId";"ComputersOn";"ComputersValue";"ComputersAbsoluteValue";"ComputersSchedule";"EquipmentOn";"EquipmentValue";"EquipmentAbsoluteValue";"EquipmentSchedule";"MiscellaneousOn";"MiscellaneousValue";"CateringOn";"CateringValue";"ProcessOn";"ProcessValue";"FluorescentLightingOn";"FluorescentLightingValue";"FluorescentLightingSchedule"
"Model Object Identifier";"Zone";"Inherited Zone Handle";"Parent Identifier";"Block";"Identity - Identity - Name";"Activity - Floor Areas and Volumes - Floor area (m2)";"Activity - Occupancy - Occupancy method";"Activity - Occupancy - Occupied?";"Activity - Occupancy - Floor area per person (m2/person)";"Activity - Occupancy - Occupied?_";"Activity - Occupancy - Occupancy density (people/m2)";"Activity - Occupancy - Occupied?__";"Activity - Occupancy - Number of people";"Activity - Occupancy - Schedule";"Activity - Metabolic - Activity";"Activity - Computers - On";"Activity - Computers - Power density (W/m2)";"Activity - Computers - Absolute zone power (W)";"Activity - Computers - Schedule";"Activity - Office Equipment - On";"Activity - Office Equipment - Power density (W/m2)";"Activity - Office Equipment - Absolute zone power (W)";"Activity - Office Equipment - Schedule";"Activity - Miscellaneous - On";"Activity - Miscellaneous - Power density (W/m2)";"Activity - Catering - On";"Activity - Catering - Power density (W/m2)";"Activity - Process - On";"Activity - Process - Power density (W/m2)";"Lighting - General Lighting - On";"Lighting - General Lighting - Power density (W/m2)";"Lighting - General Lighting - Schedule"
"2757";"Depuradora";"0";"0";"0_Basement";"Depuradora";"4.5";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"2750";"Bathroom 2";"0";"0";"0_Basement";"Bathroom 2";"1.9";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"2578";"Bedroom 4";"0";"0";"0_Basement";"Bedroom 4";"25.9";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"2450";"En-suite 4";"0";"0";"0_Basement";"En-suite 4";"6.7";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"1900";"Main room";"0";"0";"0_Basement";"Main room";"117.1";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"1491";"Storage";"0";"0";"0_Basement";"Storage";"27.7";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"2238";"Bedroom 3";"0";"0";"0_Basement";"Bedroom 3";"21.4";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"2345";"En-suite 3";"0";"0";"0_Basement";"En-suite 3";"5.8";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"1657";"Laundry room";"0";"0";"0_Basement";"Laundry room";"15.5";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
