,Date/Time,Source,Month/Day,Month,Day,Hour,Minute,Second,EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Hourly),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Hourly),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Hourly),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Hourly),count,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),EMS:Comfort Temperature [C](Hourly),EMS:Adaptive Cooling Setpoint Temperature [C](Hourly),EMS:Adaptive Heating Setpoint Temperature [C](Hourly),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Hourly),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Hourly),EMS:Ventilation Setpoint Temperature [C](Hourly),EMS:Minimum Outdoor Temperature for ventilation [C](Hourly),BLOCK1:ZONE2:Zone Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Operative Temperature [C](Hourly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Hourly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Hourly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Hourly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Hourly),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Hourly),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Hourly),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Hourly)
0, 01/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,01/01,01,01,01,00,00,126.71,105.33,36.2,30.1,744,3.64,82.75,6.03,19.75,33.93,19.1,34.03,19.0,26.52,-30.9,19.92,19.86,3.16,2.87,3.16,2.87,657.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,744.0,6.0,6.0,15312.77,120.85,10881.1,103.3,681603.47,0.0,0.0,287491.13,249451.19,0.0,717896013.65,0.0,625056136.83
1, 02/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,02/01,02,01,01,00,00,126.71,105.33,36.2,30.1,672,4.35,84.56,5.65,20.15,33.93,19.1,34.03,19.0,26.52,-30.9,20.39,20.33,4.14,4.1,4.14,4.1,577.5,581.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,672.0,19.0,18.0,13323.58,105.15,11515.72,109.33,680150.82,23387.97,14277.65,368157.21,305591.56,57068007.62,728640868.82,35355292.79,628483415.95
2, 03/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,03/01,03,01,01,00,00,126.71,105.33,36.2,30.1,744,5.62,75.46,5.53,20.64,33.93,19.1,34.03,19.0,26.52,-30.9,21.2,21.28,4.78,5.59,4.78,5.59,640.0,639.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,744.0,31.0,30.0,13667.12,107.86,10542.93,100.09,734236.85,81204.85,58848.3,409084.76,314800.36,193179451.46,675982558.83,140082838.0,533693944.11
3, 04/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,04/01,04,01,01,00,00,126.71,105.33,36.2,30.1,720,6.52,81.02,3.42,20.92,33.93,19.1,34.03,19.0,26.52,-30.9,22.34,22.46,6.25,6.42,6.25,6.42,650.5,653.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,34.0,34.0,9122.39,72.0,7999.84,75.95,791952.46,166166.58,120991.43,414058.28,326554.37,379031556.7,633905544.73,278330870.76,497485270.87
4, 05/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,05/01,05,01,01,00,00,126.71,105.33,36.2,30.1,744,9.58,75.96,4.55,21.72,30.55,19.28,30.65,19.18,25.09,-30.72,22.71,22.88,7.55,8.86,7.55,8.86,667.0,675.5,234.5,241.5,29.0,22.0,0.0,0.0,0.0,0.0,480.5,480.5,77.0,67.0,11374.75,89.77,7886.16,74.87,1210501.59,316622.42,252128.38,694616.92,546902.85,768101190.79,1049985468.98,615869684.26,824389822.46
5, 06/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,06/01,06,01,01,00,00,126.71,105.33,36.2,30.1,720,11.9,79.27,4.16,22.68,28.02,19.87,28.12,19.77,24.28,-30.13,23.24,23.31,10.75,11.74,10.75,11.74,627.5,649.5,419.0,441.0,61.0,39.0,0.0,0.0,0.0,0.0,240.0,240.0,109.0,119.0,9135.48,72.1,7160.42,67.98,1438472.45,446890.28,352205.49,765690.06,647290.64,1111689145.25,1155964833.36,873150125.18,971244502.33
6, 07/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,07/01,07,01,01,00,00,126.71,105.33,36.2,30.1,744,13.89,79.56,3.93,23.23,25.13,20.33,25.23,20.23,23.23,-29.67,23.22,23.29,13.02,13.43,13.02,13.43,655.0,683.0,661.5,687.5,82.5,56.5,0.0,0.0,0.0,0.0,0.0,0.0,122.0,125.0,8507.77,67.15,6312.73,59.93,1308916.55,470162.68,400756.71,528556.4,414999.0,1191462141.78,788437747.15,1013169283.93,617268401.84
7, 08/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,08/01,08,01,01,00,00,126.71,105.33,36.2,30.1,744,13.89,77.29,4.51,23.48,25.38,20.58,25.48,20.48,23.48,-29.42,23.28,23.29,14.65,14.19,14.65,14.19,660.5,683.5,670.0,692.5,74.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,118.0,123.0,9995.87,78.89,6272.67,59.55,1256753.66,408477.4,332907.45,562513.3,450355.65,1037526044.72,860826470.69,841409653.73,684006312.02
8, 09/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,09/01,09,01,01,00,00,126.71,105.33,36.2,30.1,720,11.79,78.7,5.15,22.82,24.72,19.92,24.82,19.82,22.82,-30.08,21.9,21.95,12.61,12.17,12.61,12.17,679.0,680.5,699.0,703.5,21.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,123.0,97.0,10752.62,84.86,8190.4,77.76,1038238.98,136181.82,135591.9,696819.52,600412.3,357627447.89,1053500969.58,354560976.17,909649151.9
9, 10/01  01:00:00,TestModel[CS_INT EN16798[CA_1[CM_1[HM_2[VC_0[VO_0[MT_50[MW_50[AT_0.1[NS_hourly_daily_monthly_runperiod[United-Kingdom_Aberdeen_Present.csv,10/01,10,01,01,00,00,126.71,105.33,36.2,30.1,744,8.98,80.03,6.19,21.88,30.86,19.27,30.96,19.17,25.23,-30.73,21.02,21.15,10.63,9.32,10.63,9.32,664.0,669.5,240.5,240.5,0.0,0.0,0.0,0.0,0.0,0.0,503.5,503.5,53.0,55.0,14718.95,116.17,9736.85,92.44,805698.12,34516.43,29313.28,582718.46,465347.93,90839905.0,907186634.18,76656145.32,728605756.0
