Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),EMS:Comfort Temperature [C](Daily),EMS:Adaptive Cooling Setpoint Temperature [C](Daily),EMS:Adaptive Heating Setpoint Temperature [C](Daily),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Daily),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Daily),EMS:Ventilation Setpoint Temperature [C](Daily),EMS:Minimum Outdoor Temperature for ventilation [C](Daily),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Daily),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Daily),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Daily),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Daily),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Daily),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Daily),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Daily),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Daily),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Daily),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Daily),BLOCK1:ZONE2:Zone Operative Temperature [C](Daily),BLOCK1:ZONE1:Zone Operative Temperature [C](Daily),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Daily),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Daily),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Daily),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Daily),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Daily),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Daily),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Daily),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Daily),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Daily),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Daily),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Daily),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Daily),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Daily) 
 01/01,-1.3208333333333333,87.04166666666667,1.4083333333333332,18.453910152966657,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.40011844172712,19.340320846066454,294.56688681733766,0.09686661671435488,264.39011132530936,0.10458433187626141,1683.5908621416932,4.082777777777779,-1.0710710933333336,4.082777777777779,-1.0710710933333336,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,792.3084064198819,735.4752486659531,0.0,56755349.42354738,0.0,52142281.21722129 
 01/02,2.896875,94.84375,4.8875,18.43040565444001,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.755390755362217,19.57675541601691,367.55311518098966,0.12086771569976913,436.5666456336685,0.17269190108581445,797.5695225288488,3.72263888888889,-1.121023541333333,3.72263888888889,-1.121023541333333,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,230.9030291233274,273.85769303918346,0.0,15073367.170873608,0.0,17734153.775859006 
 01/03,3.2364583333333328,94.80208333333333,4.403125000000001,18.692209679801998,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.84938039272017,19.643651061937295,310.29912536832956,0.10204007235372796,372.54861751895135,0.1473684021665397,725.1680207169056,3.452152777777778,-0.3097354997333335,3.452152777777778,-0.3097354997333335,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,188.6954613441408,224.0047488277652,0.0,12269055.198649075,0.0,14531627.390535068 
 01/04,3.626041666666666,95.88541666666667,4.041666666666666,18.923661493841596,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.994774209840866,19.740890548163588,256.456543673827,0.0843342508329713,333.8984757260368,0.13207963347518287,648.9846363366821,3.3738888888888865,0.3892949335466665,3.3738888888888865,0.3892949335466665,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,137.1262231239231,173.3956598841502,0.0,8999281.855827713,0.0,11339961.262002606 
 01/05,3.551041666666665,85.55208333333333,4.795833333333332,19.138247945073285,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.07824585763159,19.771324050570367,264.90656067527965,0.0871129900420972,371.48947864958916,0.1469494404646017,647.2187473544204,3.289375000000001,1.0385192801706669,3.289375000000001,1.0385192801706669,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,132.47331564840894,174.23616104646138,0.0,8725857.145555252,0.0,11460267.30827924 
 01/06,4.238541666666668,92.88541666666667,6.2718750000000005,19.305150439391955,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.093835488461487,19.758701763508768,368.3910975429699,0.12114328135193181,502.62736641163247,0.19882342435344072,645.0840851189315,3.2744444444444425,1.5412320908031996,3.2744444444444425,1.5412320908031996,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,132.765581136586,182.8353440935065,0.0,8457095.540981416,0.0,11544949.580233099 
 01/07,2.9020833333333336,89.27083333333333,3.6083333333333325,19.482718268180243,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.668807713569723,19.583863882954972,359.2064055865278,0.11812294853381776,257.1069391036784,0.10170334023508086,1227.818089148463,3.344652777777777,2.0800690059758935,3.344652777777777,2.0800690059758935,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,541.4674541784319,486.33369172485635,0.0,36797472.129415154,0.0,32844116.506540503 
 01/08,1.1989583333333331,89.58333333333333,2.926041666666667,19.541295708294182,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.467887223688653,19.422539687832018,343.4643488016133,0.11294626422501587,324.39759121500674,0.12832138527959513,1708.2691148464426,3.3767361111111103,2.249888538114049,3.3767361111111103,2.249888538114049,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,837.2920940788002,773.7338509476431,0.0,57862509.14749363,0.0,53027426.63143526 
 01/09,5.3656250000000005,94.04166666666667,8.539583333333335,19.472325368718685,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.717899327188068,19.544822881474264,595.032934210289,0.19567313825843613,650.6062809009619,0.2573591835997413,739.0811816799246,3.3409722222222205,2.032827497157904,3.3409722222222205,2.032827497157904,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,212.21862000667696,245.97105158302756,0.0,13099963.081613759,0.0,15061298.504197307 
 01/10,6.321875000000001,96.0625,6.934374999999998,19.685070711641625,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.049036352555763,19.755580204484325,463.0304900802288,0.15226489811624508,535.4128402934946,0.2117923166618307,585.8276829534133,3.484097222222219,2.6958453310596577,3.484097222222219,2.6958453310596577,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,115.81622917373947,141.74348264805909,0.0,6942971.576695543,0.0,8423014.620601255 
