Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),EMS:Comfort Temperature [C](Daily),EMS:Adaptive Cooling Setpoint Temperature [C](Daily),EMS:Adaptive Heating Setpoint Temperature [C](Daily),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Daily),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Daily),EMS:Ventilation Setpoint Temperature [C](Daily),EMS:Minimum Outdoor Temperature for ventilation [C](Daily),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Daily),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Daily),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Daily),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Daily),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Daily),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Daily),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Daily),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Daily),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Daily),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Daily),BLOCK1:ZONE2:Zone Operative Temperature [C](Daily),BLOCK1:ZONE1:Zone Operative Temperature [C](Daily),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Daily),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Daily),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Daily),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Daily),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Daily),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Daily),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Daily),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Daily),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Daily),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Daily),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Daily),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Daily),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Daily) 
 01/01,5.2,90.70833333333333,5.704166666666667,20.499543854066662,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.5699455496128,19.55627262926994,547.2294591891921,0.17995324203210206,355.3393454063586,0.14056096062891815,1249.9956173086284,5.2309722222222215,5.259710186666665,5.2309722222222215,5.259710186666665,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,606.84109258047,518.711476641614,0.0,38115094.55692714,0.0,32464679.54832847 
 01/02,10.608333333333333,90.21875,6.9750000000000005,20.531845590786677,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.524238310286673,20.54860257616945,556.9393519133571,0.18314628408449143,272.8990799894747,0.10795020966282819,494.7061987863399,5.392499999999999,5.247768149333329,5.392499999999999,5.247768149333329,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,59.39130206178584,47.7950693866899,0.0,3178176.5782977,0.0,2545552.8728939667 
 01/03,6.620833333333334,85.80208333333333,3.894791666666666,20.878997826796002,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.893008179397594,20.806435655244627,344.1454901255698,0.11317025360912113,259.23856298870993,0.102546542950606,480.8762568390061,5.783472222222226,6.322381186133331,5.783472222222226,6.322381186133331,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,36.191269235631964,34.77465920526196,0.0,2299723.807359191,0.0,2203713.5377095295 
 01/04,4.010416666666667,81.40625,4.039583333333332,20.908635240603477,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.31306100705334,20.25573826177879,367.93657513191204,0.12099381428638434,257.2800208117936,0.10177180586230304,1023.8392080751528,6.006249999999998,6.39123828224,6.006249999999998,6.39123828224,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,682.1761581553257,550.3123868911149,0.0,27964502.58565699,0.0,23042113.944785614 
 01/05,6.297916666666666,76.71875,7.517708333333335,20.756190484149446,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.51112659832354,20.503671253291678,608.2611618561385,0.2000231643968978,359.32342247752257,0.14213693499703112,973.2080628046778,6.018055555555558,5.917990625791998,6.018055555555558,5.917990625791998,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,666.0981332462965,525.5500559907463,0.0,26176327.95228306,0.0,20721008.770384688 
 01/06,6.282291666666667,70.82291666666667,6.687499999999999,20.776008637319553,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.891728920529204,21.01637437651331,537.9535919253657,0.17690292674158714,284.00607585380794,0.11234378450494632,958.2963552685706,6.146527777777778,5.989392500633602,6.146527777777778,5.989392500633602,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,642.2293466208722,496.427773795326,0.0,25728535.854932383,0.0,19845739.801260054 
 01/07,6.735416666666667,78.79166666666667,5.507291666666667,20.793475920272307,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.424600505407845,20.47571716660949,433.7277228847937,0.1426288526351713,239.07241950903568,0.0945694570007176,1090.741363711984,6.378680555555557,6.041930667173546,6.378680555555557,6.041930667173546,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,753.2047106070545,580.086276473087,0.0,32369436.260144554,0.0,24806550.790965185 
 01/08,6.673958333333335,86.21875,6.785416666666666,20.839865371634527,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.746837032286404,19.738161090710296,591.3038466578976,0.19444684938892118,364.2321883696336,0.14407868689762218,1103.9231920906382,6.319097222222222,6.184377867072169,6.319097222222222,6.184377867072169,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,517.9747904011238,427.21024262442916,0.0,31972745.168455303,0.0,26354907.458838563 
 01/09,7.411458333333335,82.01041666666667,6.780208333333337,20.8732243285576,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.348808385205142,20.33816630963979,573.690362439645,0.18865475699453124,353.9240733951907,0.14000112396570402,1009.091142579544,6.270555555555556,6.2845856269910705,6.270555555555556,6.2845856269910705,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,694.2878243013312,549.2418180422108,0.0,27865140.52093773,0.0,22260842.642519306 
 01/10,8.177083333333334,75.11458333333333,6.5125,20.94290029617943,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.452923810375136,20.555220344413016,530.0143240314495,0.17429214442188443,283.4983409179476,0.11214294068831863,905.3779940453096,6.445763888888887,6.498085168259525,6.445763888888887,6.498085168259525,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,621.6739376609341,459.3656594988907,0.0,23899734.69318801,0.0,17269724.729538415 
 01/11,5.220833333333332,84.60416666666667,4.082291666666666,21.056777789026878,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.381056144682514,20.355020620036075,353.8008758961292,0.11634537136513005,228.34449045784373,0.09032582895195766,941.6101992276705,6.783263888888885,6.84596813460762,6.783263888888885,6.84596813460762,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,624.2501694607383,491.0910468410518,0.0,24534756.186850276,0.0,19635010.96086955 
 01/12,3.3927083333333337,87.41666666666667,2.223958333333334,20.95522223122151,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.83749862070019,20.67480341263959,279.819824357286,0.09201713053342413,244.90140383807451,0.09687521809183358,1000.4535407271563,6.938819444444447,6.524274507686099,6.938819444444447,6.524274507686099,19.10000000000001,33.93333333333333,19.10000000000001,34.45624999999999,32.98273839682696,0.0,633.7374420284478,514.5711459660597,2090845.8444876056,25922640.951005984,0.0,21139561.369399562 
 01/13,1.1354166666666665,82.63541666666667,2.396875,20.751238982893856,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,19.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,21.299655756252196,21.33594332405114,293.1626250147307,0.09640483334396509,277.1412248716448,0.10962826746158666,1106.4501880330533,6.980833333333333,5.899836272815545,6.980833333333333,5.899836272815545,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,120.6502196750052,52.11177782305322,624.921865125962,496.6503945325646,7301290.243427038,26531674.755849052,3233408.2176002446,21002835.826609217 
 01/14,1.7916666666666667,79.38541666666667,4.903125000000001,20.44187269673175,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.105618520254943,20.066712615197996,309.96883483228567,0.10193145822162021,428.9225054937717,0.16966812199932682,1317.2088816373998,6.852916666666669,4.95570235158577,6.852916666666669,4.95570235158577,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,819.7508402884728,725.8349781439151,0.0,39201189.97880629,0.0,36693007.13193406 
 01/15,1.0125000000000002,69.86458333333333,2.951041666666668,20.228213261552067,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,17.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.0540395737178,19.887489093708382,262.52599585114075,0.08633015507081092,294.887657048525,0.11664819246219592,1333.5658872063034,6.697777777777778,4.314561881268616,6.697777777777778,4.314561881268616,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,801.235270768695,731.265802864646,0.0,39893540.87033,0.0,37552704.643554546 
 01/16,1.3302083333333332,83.47916666666667,1.6916666666666667,20.012833109241644,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,2.0,1.0,20.42876870087495,20.786784278708208,255.3517964918497,0.0839709611129383,249.66051985550118,0.09875777325438949,1275.0347073790383,6.575416666666672,3.6616495050148923,6.575416666666672,3.6616495050148923,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,1230.8909323214978,529.5332857607956,0.0,49955144.16910112,0.0,22829122.180516414 
 01/17,6.358333333333333,91.73958333333333,3.1708333333333347,19.853972476976658,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.607627542728558,20.611521506871938,272.8509498487055,0.08972545646494097,264.39857465843573,0.10458767970207848,489.2630310812015,6.426736111111115,3.1839029373452465,6.426736111111115,3.1839029373452465,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,45.93075298082695,36.99346844937785,0.0,2913243.9005821086,0.0,2341084.9927602364 
