Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Relative Humidity [%](Monthly),Environment:Site Wind Speed [m/s](Monthly),EMS:Comfort Temperature [C](Monthly),EMS:Adaptive Cooling Setpoint Temperature [C](Monthly),EMS:Adaptive Heating Setpoint Temperature [C](Monthly),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Monthly),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Monthly),EMS:Ventilation Setpoint Temperature [C](Monthly),EMS:Minimum Outdoor Temperature for ventilation [C](Monthly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Monthly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Monthly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Monthly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Monthly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Monthly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Monthly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Monthly),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Monthly),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Monthly),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Monthly),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Monthly),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Monthly),BLOCK1:ZONE2:Zone Operative Temperature [C](Monthly),BLOCK1:ZONE1:Zone Operative Temperature [C](Monthly),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Monthly),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Monthly),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Monthly),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Monthly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Monthly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Monthly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Monthly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Monthly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Monthly),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Monthly),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Monthly),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Monthly),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Monthly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Monthly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Monthly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Monthly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Monthly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Monthly) 
January,3.640154569892472,82.74899193548387,6.028797043010743,19.746687648834744,33.933333333333586,19.10000000000024,34.03333333333319,19.0,26.516666666666563,-30.900000000000233,657.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,744.0,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,6.0,6.0,19.91985713976953,19.864057715111432,15312.771383385463,0.16243600928537127,10881.095368298946,0.13884567031441508,916.1336979630188,3.157392473118278,2.87103798188845,3.157392473118278,2.87103798188845,19.10000000000024,34.034543010752934,19.10000000000024,34.01767473118304,0.0,0.0,386.4128142141961,335.2838536480357,0.0,717896013.6509712,0.0,625056136.8287638 
February,4.349627976190477,84.56026785714286,5.652715773809525,20.1515468650728,33.93333333333351,19.100000000000225,34.033333333333225,19.0,26.51666666666656,-30.9000000000001,577.5,581.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,672.0,24327.609599999898,20224.04160000033,85146.70079999985,70784.24640000086,19.0,18.0,20.38824620239521,20.33253884481127,13323.580436263688,0.15647794114253788,11515.722862401526,0.16268765224011086,1012.1292036025724,4.143623511904788,4.096248154639012,4.143623511904788,4.096248154639012,19.100000000000225,34.12008928571446,19.100000000000225,34.10141369047636,34.8035330910349,21.24649981497908,547.8529957854779,454.74934799282863,57068007.620014094,728640868.816025,35355292.78654923,628483415.9462069 
March,5.615994623655917,75.46337365591398,5.526881720430093,20.64342673371585,33.933333333333586,19.10000000000024,34.03333333333319,19.0,26.516666666666563,-30.900000000000233,640.0,639.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,744.0,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,31.0,30.0,21.201554117362303,21.27535672077789,13667.120821120518,0.14497914903977344,10542.93032342888,0.1345305944196959,986.8774897779795,4.775259856630827,5.586709271763354,4.775259856630827,5.586709271763354,19.10000000000024,34.13575268817229,19.10000000000024,34.102016129032506,109.14631027112969,79.09717860152702,549.8451064961099,423.1187644201667,193179451.4583376,675982558.8264543,140082837.99556378,533693944.10739267 
April,6.51958333333333,81.021875,3.42118055555554,20.918861495015754,33.93333333333356,19.100000000000236,34.0333333333332,19.0,26.51666666666656,-30.90000000000019,650.5,653.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,26065.295999999846,21668.616000000373,91228.60799999963,75840.264000001,34.0,34.0,22.340604721477284,22.455916401648665,9122.389507685251,0.09999483394162127,7999.8443734653665,0.10548281284286354,1099.9339727770512,6.2456851851851845,6.42127693321381,6.2456851851851845,6.42127693321381,19.104166666666902,34.035138888889115,19.106250000000234,34.033750000000225,230.78692036646655,168.04364709320575,575.0809431023614,453.54773927544073,379031556.7029603,633905544.7282841,278330870.75736123,497485270.8659942 
May,9.580947580645155,75.96034946236558,4.5508064516128846,21.721552719062547,30.55351310982082,19.277034615197216,30.653513109820782,19.177034615197094,25.09235719584221,-30.722965384802695,667.0,675.5,234.5,241.5,29.0,22.0,0.0,0.0,0.0,0.0,480.5,480.5,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,77.0,67.0,22.71394437875594,22.88029520430144,11374.747030283126,0.12066192774448141,7886.164912402233,0.10062956130892585,1627.0182723884386,7.5533490143368684,8.85660686787314,7.5533490143368684,8.85660686787314,19.287115260358505,30.580529238853078,19.29114751842302,30.577841066810066,425.56776582272363,338.88222770611105,933.6248875519381,735.0844767957421,768101190.7869166,1049985468.9786671,615869684.2620225,824389822.4587609 
June,11.901458333333316,79.27048611111111,4.161909722222208,22.675449319371833,28.016372584061457,19.87192813961686,28.116372584061402,19.771928139616946,24.277483695172574,-30.128071860383063,627.5,649.5,419.0,441.0,61.0,39.0,0.0,0.0,0.0,0.0,240.0,240.0,26065.295999999846,21668.616000000373,91228.60799999963,75840.264000001,109.0,119.0,23.24420205933728,23.30652603125517,9135.48217787048,0.10013834890334476,7160.417543811644,0.09441445963072671,1997.8783977212859,10.746578703703658,11.74444121504229,10.746578703703658,11.74444121504229,19.884428139616862,28.008039250728125,19.88244481583455,28.00952814916804,620.6809470461329,489.1742871955903,1063.4584114790784,899.0147837317522,1111689145.248945,1155964833.361556,873150125.1771349,971244502.3338208 
July,13.889079301075258,79.5638440860215,3.9333669354838583,23.230800813549614,25.13080081354949,20.33080081354971,25.23080081354951,20.230800813549646,23.230800813549614,-29.669199186450314,655.0,683.0,661.5,687.5,82.5,56.5,0.0,0.0,0.0,0.0,0.0,0.0,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,122.0,125.0,23.219337333601025,23.28957981132579,8507.7690018626,0.09024937485083853,6312.726559999058,0.08055206953596487,1759.2964427862767,13.019787186379931,13.42844818766675,13.019787186379931,13.42844818766675,20.33080081354971,25.13080081354949,20.33080081354971,25.13080081354949,631.9390916310794,538.6514891842284,710.4252690363223,557.7943485131018,1191462141.7817564,788437747.146952,1013169283.9293221,617268401.8377012 
August,13.893951612903216,77.29301075268818,4.508299731182775,23.483371216086116,25.38337121608612,20.58337121608608,25.483371216086045,20.483371216086038,23.483371216086116,-29.416628783914007,660.5,683.5,670.0,692.5,74.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,118.0,123.0,23.275779439143918,23.287035927240233,9995.868586098186,0.10603495355703657,6272.66918106044,0.0800409267289662,1689.185025165326,14.649648297490987,14.190738140967284,14.649648297490987,14.190738140967284,20.583209545531563,25.383209545531603,20.583452943211633,25.38345294321167,549.0287650486277,447.45625453979005,756.0662610724711,605.3167284100625,1037526044.7158241,860826470.6891512,841409653.7277856,684006312.0208921 
September,11.787604166666661,78.70416666666667,5.1540972222222035,22.81700979487766,24.71700979487758,19.917009794877465,24.81700979487775,19.81700979487766,22.81700979487766,-30.082990205122563,679.0,680.5,699.0,703.5,21.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,26065.295999999846,21668.616000000373,91228.60799999963,75840.264000001,123.0,97.0,21.89797856351931,21.947787580715186,10752.621597970214,0.117864580351486,8190.401943486803,0.10799543028340193,1441.9985772733205,12.614423611111128,12.17134514497036,12.614423611111128,12.17134514497036,19.917009794877465,24.71700979487758,19.917009794877465,24.71700979487758,189.1414218892228,188.3220792004976,967.8048929335653,833.9059691071617,357627447.89007944,1053500969.584552,354560976.1693029,909649151.9037266 
October,8.97587365591397,80.02788978494624,6.189079301075273,21.876407892973077,30.86013360937699,19.266719630882402,30.96013360937668,19.166719630882156,25.225052964215372,-30.73328036911811,664.0,669.5,240.5,240.5,0.0,0.0,0.0,0.0,0.0,0.0,503.5,503.5,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,53.0,55.0,21.019223234600503,21.152853952406968,14718.954149939102,0.1561368685726346,9736.853693275565,0.12424484227341011,1082.9275821063502,10.627903225806437,9.3205239486505,10.627903225806437,9.3205239486505,19.266719630882402,30.978211566366237,19.266719630882402,30.978211566366237,46.39304923354146,39.39956370733139,783.2237379768783,625.4676522166742,90839905.00494178,907186634.1840472,76656145.32099606,728605756.0046294 
