Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Relative Humidity [%](Monthly),Environment:Site Wind Speed [m/s](Monthly),EMS:Comfort Temperature [C](Monthly),EMS:Adaptive Cooling Setpoint Temperature [C](Monthly),EMS:Adaptive Heating Setpoint Temperature [C](Monthly),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Monthly),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Monthly),EMS:Ventilation Setpoint Temperature [C](Monthly),EMS:Minimum Outdoor Temperature for ventilation [C](Monthly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Monthly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Monthly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Monthly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Monthly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Monthly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Monthly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Monthly),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Monthly),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Monthly),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Monthly),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Monthly),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Monthly),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Monthly),BLOCK1:ZONE2:Zone Operative Temperature [C](Monthly),BLOCK1:ZONE1:Zone Operative Temperature [C](Monthly),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Monthly),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Monthly),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Monthly),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Monthly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Monthly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Monthly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Monthly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Monthly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Monthly),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Monthly),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Monthly),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Monthly),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Monthly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Monthly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Monthly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Monthly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Monthly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Monthly) 
January,4.403259408602156,81.68111559139786,3.738541666666638,20.4177025826758,33.933333333333586,19.10000000000024,34.03333333333319,19.0,26.516666666666563,-30.900000000000233,649.5,647.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,744.0,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,17.0,16.0,20.35892627341874,20.30028786073506,10965.098612946862,0.11631642734770997,8624.45315457368,0.1100503155988103,947.9728631626789,5.9828472222222056,4.903773846046103,5.9828472222222056,4.903773846046103,19.10000000000024,34.135752688172296,19.10000000000024,34.135752688172296,10.851359098037694,5.339043597390919,491.77218862887617,400.74039242862096,19869786.32153072,731568611.4713784,9952701.53803596,617837593.1768893 
February,3.939769345238096,84.25037202380952,2.949813988095227,19.891666294602025,33.93333333333351,19.100000000000225,34.033333333333225,19.0,26.51666666666656,-30.9000000000001,590.5,583.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,672.0,24327.609599999898,20224.04160000033,85146.70079999985,70784.24640000086,17.0,17.0,20.66252291564039,20.56877256306537,7949.404661629525,0.09336127632592336,7604.034435598929,0.10742551941047351,914.944326605115,3.66359623015873,3.3100143621341918,3.66359623015873,3.3100143621341918,19.100000000000225,34.12008928571446,19.100000000000225,34.12008928571446,36.19365345134531,25.097086154217408,439.47451955027947,383.66932864651244,58064915.37151685,565792462.1976278,40767188.16588027,503070537.4520348 
March,6.836055107526887,78.0809811827957,4.406149193548368,20.98463461393982,33.933333333333586,19.10000000000024,34.03333333333319,19.0,26.516666666666563,-30.900000000000233,641.5,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,744.0,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,37.0,34.0,21.486161222177163,21.69646662525122,11264.970002997015,0.11949742644180289,7065.897796805765,0.09016273479496349,1082.797920439617,5.044052419354847,6.621600391598953,5.044052419354847,6.621600391598953,19.10000000000024,34.1188844086024,19.10000000000024,34.085147849462615,112.96534116291281,84.02663645783014,700.445291253239,490.4641180063437,207286068.6032361,817277482.8436413,153472312.543133,569973544.2326909 
April,8.323645833333329,75.71909722222222,3.7162152777777515,21.456644860682424,32.63909317509658,19.143537619541217,32.73909317509643,19.04353761954098,25.95798206398535,-30.856462380459206,665.0,671.0,92.0,93.5,4.0,2.5,0.0,0.0,0.0,0.0,624.0,624.0,26065.295999999846,21668.616000000373,91228.60799999963,75840.264000001,48.0,46.0,22.611180892496073,22.67057226419515,7906.876302209309,0.0866710177383098,8662.254630854459,0.11421709490429074,1306.3264135420802,7.731921296296317,8.050947995515555,7.731921296296317,8.050947995515555,19.153954286207885,32.70187095287436,19.160204286207883,32.69770428620769,352.973333405388,254.72916518980796,642.6825917340875,527.3709884113832,563964714.6332442,710342830.3760474,416278881.70418423,579779863.7340223 
May,12.471538978494625,73.4616935483871,3.4252016129032006,22.62634932915499,26.487982051137728,19.742686352213166,26.587982051138056,19.642686352213182,23.518223986621827,-30.257313647786642,652.0,694.0,521.0,566.0,78.5,33.5,0.0,0.0,0.0,0.0,144.5,144.5,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,105.0,90.0,22.94913775610113,23.087972727780908,7067.9639115604605,0.07497609823996951,6508.19677732327,0.08304632148691773,1998.158428613165,10.3175806451613,11.598793244815306,10.3175806451613,11.598793244815306,19.74873473930994,26.48394979307321,19.750618199765054,26.482473038474563,733.7842859049701,622.7849505581984,754.201645291782,687.7132545618678,1370566323.6328115,869386628.4606098,1172530569.1625876,781181726.3436099 
June,15.009756944444444,70.82013888888889,3.3410069444444237,23.47779642449846,25.377796424498314,20.577796424498402,25.477796424498464,20.477796424498422,23.47779642449846,-29.422203575501502,605.0,641.5,613.0,650.0,107.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,26065.295999999846,21668.616000000373,91228.60799999963,75840.264000001,109.0,101.0,23.616573864559935,23.658371740166274,6222.526487284133,0.06820806130555139,5532.243714830034,0.07294599758816823,2119.4553423923135,13.286923611111074,14.17838369059034,13.286923611111074,14.17838369059034,20.57780680284842,25.377806802848337,20.577796424498402,25.377796424498314,858.5476144054212,719.5166342392027,693.8910912920234,576.2458856051334,1624608142.5592957,761809056.0584804,1353216410.1532516,632290078.6168908 
July,17.314885752688173,75.35853494623656,2.6385752688171924,24.592837550042592,26.492837550042307,21.69283755004236,26.59283755004258,21.592837550042482,24.592837550042592,-28.30716244995758,630.5,670.0,631.5,671.5,112.5,72.5,0.0,0.0,0.0,0.0,0.0,0.0,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,142.0,150.0,24.92811561092042,24.942155667806592,5446.011352050249,0.0577706235142845,4006.3277891178186,0.05112180792017943,1913.1789467798053,16.590461469534045,17.553985521023264,16.590461469534045,17.553985521023264,21.69275593060399,26.492755930603934,21.6926563445934,26.492656344593346,917.9914670524415,737.3455687890703,394.5443384552035,319.2009033119271,1765464511.6965463,436242089.4217878,1411733525.295528,352241563.22451866 
August,16.724966397849457,75.34106182795699,2.850739247311819,24.475842780184664,26.375842780184495,21.57584278018456,26.47584278018472,21.47584278018462,24.475842780184664,-28.424157219815527,637.5,676.0,638.5,677.0,105.5,67.0,0.0,0.0,0.0,0.0,0.0,0.0,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,133.0,123.0,24.663896000321124,24.708248313151163,6095.183871614826,0.06465696634378774,4472.06920391341,0.05706479221924887,1807.0814542843143,17.49684811827953,17.19736680197864,17.49684811827953,17.19736680197864,21.57570185374759,26.375701853747525,21.57593830895156,26.375938308951497,830.554275951115,693.3078474557853,393.4465638986666,331.7939437310904,1567800314.7521217,434390393.6930306,1311163512.7811346,368993466.009254 
September,13.849687499999995,75.17951388888889,3.433680555555539,23.434408821714182,25.334408821714135,20.53440882171412,25.434408821714204,20.43440882171414,23.434408821714182,-29.465591178285784,658.0,681.5,662.5,687.5,57.5,32.5,0.0,0.0,0.0,0.0,0.0,0.0,26065.295999999846,21668.616000000373,91228.60799999963,75840.264000001,123.0,115.0,23.111612366694576,23.067544896826302,6459.36812482165,0.0708041947195078,6252.503770708197,0.08244306442166656,1575.7471268189975,15.360287037037114,14.042758249894465,15.360287037037114,14.042758249894465,20.534405128897067,25.334405128897085,20.53440882171412,25.334408821714135,487.20595719281175,396.81029635152566,644.0017947774237,594.171324205203,885064675.9113265,706365955.7294942,725498449.7394958,650071817.1750691 
October,10.556821236559133,86.27083333333333,2.8880376344085885,22.496908347627418,27.030067283334994,19.644180186560877,27.130067283334846,19.54418018656068,23.708427498388623,-30.35581981343963,703.0,713.0,532.5,541.0,20.0,11.5,0.0,0.0,0.0,0.0,191.5,191.5,26934.13919999982,22390.903200000394,94269.56159999952,78368.27280000107,75.0,76.0,21.747661973474678,21.76627306910962,7495.045089370755,0.07950652323146852,6232.74304064409,0.07953145856040987,1231.1389689096638,12.280622759856596,11.19948394698031,12.280622759856596,11.19948394698031,19.644180186560877,27.080672122044668,19.644180186560877,27.097540401614562,222.5730425014944,171.35576938920516,636.4823450709179,589.2388896554585,423163320.19958866,726078373.4343132,328728651.3318547,666699402.9791702 
